latitude,longitude,altitude_m,bearing_deg
13.082697,80.270678,10,352.23986374822704
13.083588028387126,80.27055333972349,10,339.8709831291867
13.084364263705153,80.27026124870025,8,293.38913526389535
13.084720969695137,80.26941453377822,9,282.12394560525524
13.08490960997605,80.26851298068262,11,275.428375306428
13.084994257894692,80.26759844544931,10,284.9991614716489
13.085226889934296,80.2667070486484,8,278.0865035383638
13.08535339217725,80.2657929471311,9,276.7920194595342
13.085459747357847,80.2648761482132,12,275.2296708408564
13.085541669607887,80.26395723048212,11,271.98005147363557
13.085572740915296,80.26303448491086,12,201.26870622777943
13.084819777478,80.26273357770873,10,192.64855871635658
13.083942280966793,80.26253140449741,8,192.6376731078558
13.083064747442307,80.26232940325592,12,184.5606713878808
13.082184472632505,80.26225731519284,11,165.79521497196708
13.081312647816986,80.26248387756455,9,163.93767369054785
13.080448460129514,80.2627393250673,5,234.3996490148006
13.080068386115062,80.26219431043143,9,251.44672690027448
13.079783328802556,80.26132237178786,7,253.53738303470672
13.079529493174698,80.26044050610346,9,262.2756660632408
13.07940866286048,80.25952596158587,12,263.0948400279117
13.079300542307555,80.25860941164107,11,263.9768239982646
13.079206174221191,80.25769123566566,12,264.0379182812111
13.079112759997289,80.25677295882957,9,264.43855648584935
13.079025616126133,80.25585417845014,11,262.51753396331833
13.078908502368783,80.25493876854253,12,263.4198272020069
13.078805479344872,80.25402188972882,14,265.7706525833895
13.078739153626136,80.25310113269224,14,272.28326546083247
13.078774916399658,80.252180255754,11,269.7311783474689
13.078770695619015,80.25125706040654,12,268.55425400315323
13.078748004726753,80.25033412147756,9,259.8642458844044
13.07859031178428,80.2494285456947,12,259.4701679463581
13.078426046275643,80.2485212919659,10,259.0986835867225
13.078255969497262,80.24761469794159,9,258.8659807631153
13.078082304876043,80.24670880711402,11,262.2048187839331
13.077960591924562,80.24579606271755,13,265.03626617236654
13.077882792848198,80.24487645232692,13,263.56176105456404
13.077781952086873,80.24395904123588,14,262.6792142215856
13.077667354937537,80.24304330032923,11,262.175186004933
13.077544937922049,80.24212879750436,13,258.07512565299794
13.07735915033077,80.2412256499363,11,254.36330519593974
13.077116870175303,80.24033700019436,14,256.08183791180585
13.07690054970109,80.23944084282599,12,256.4034707077495
13.076689159515274,80.23854356721851,14,257.8039840511916
13.07649919625693,80.23764126601107,20,259.20096403532057
13.076330698198083,80.23673437979546,17,258.4314381506132
13.076150346314522,80.23582987390228,14,257.64480859181396
13.075957916671749,80.23492800085705,14,257.6018255479822
13.075764826983328,80.23402627201213,19,255.98955687460008
13.075547112957054,80.23313052815678,18,253.05978815691157
13.075285147548266,80.23224758240954,13,250.5335427722188
13.074985506645016,80.23137728726552,14,247.89752102061317
13.074647575909616,80.23052302521033,13,247.09320202025702
13.074297745882419,80.2296731069062,14,255.42938018210572
13.074072552509552,80.22878370645843,13,263.9898598041618
13.073978406567791,80.22786570986636,13,263.83737544222254
13.073881871446783,80.22694788158702,14,266.2053363606494
13.07382250563599,80.22602903317468,14,275.8709176109184
13.073914457898496,80.2251109779031,14,276.49616141701426
13.074016202480268,80.22419365242077,15,275.6894239356083
13.074105323858523,80.22327527849943,10,273.3629917429813
13.07415807747741,80.22235362086823,10,277.5994213812906
13.074276799675285,80.22144007759348,13,280.3172942850641
13.074437830765074,80.2205319484186,13,280.33121699221084
13.074599112012391,80.21962366055492,13,280.33122360153766
13.07476039331073,80.2187153724039,15,279.5943404418571
13.074910272525855,80.21780509231901,15,278.3415004434841
13.075040730123243,80.21689165799955,14,276.40289634216674
13.075140999643736,80.21597434638925,15,276.7641590500399
13.07524689360207,80.21505776605572,14,288.04342947647314
13.075524243069664,80.21418370193886,14,297.5341457227863
13.075937609828973,80.21336967662465,16,305.23770590384635
13.076456490413417,80.21261558740665,15,301.53512508766477
13.076922860967573,80.21183535039107,15,278.1295861755368
13.07704989954392,80.21092233436396,18,273.9936727447328
13.077112491285426,80.21000191491115,15,270.50992898173877
13.077120490119961,80.20907907037481,13,265.42007116155656
13.077048735299423,80.2081594891712,12,267.4420381931201
13.077008597220978,80.2072371513492,15,264.0880706096967
13.076916134576807,80.2063204706462,15,260.0104649079112
13.076760129207873,80.20541120405962,13,260.075303773965
13.07660512637389,80.20450175824334,14,257.47125675271843
13.076410082713707,80.20360069894961,14,260.55525660818614
13.076262696381976,80.20269112897684,14,269.8250944883261
13.076259954542302,80.20176959575336,16,277.6836143306784
13.076380000870913,80.20085609802938,14,264.5191619846134
13.076294577983491,80.1999421442946,13,256.0150175682985
13.076077241013992,80.19904625522341,12,255.6083447511358
13.075853727935751,80.1981520223936,12,253.66290761886938
13.075600763418588,80.19726605981175,12,254.6124069346347
13.075362134913313,80.19637591830833,13,252.05106585436653
13.075085922642886,80.19550054934989,14,235.3166260681526
13.074577397087495,80.19474613410966,11,238.7034425236845
13.074118414949469,80.19397104926968,9,268.0139487093261
13.074087387609332,80.19305253454804,12,271.31366184590394
13.074108,80.19212968279821,13,269.76510717274124
13.07410431149991,80.19120644548947,15,236.1471963780295
13.073614664618294,80.1904570534389,13,230.4345706665109
13.073043560403459,80.18974746882863,12,241.1104380147084
13.072609202630197,80.18893935144399,13,245.10745339805254
13.072230994633642,80.18810261388016,13,247.5722630791161
13.071887895487347,80.18724922497428,14,248.20043601331122
13.071553921356092,80.18639200317125,14,254.41215016201744
13.071312689667375,80.18550430501283,15,256.5192266032534
13.071103039955124,80.18460650292535,14,253.8086642740685
13.070852465266482,80.1837205841736,14,246.98730986792236
13.070501530697902,80.1828723711896,14,242.71851603049242
